key,message,comment,context
"Apellidos","Cognoms","",""
"Nombre","Nom","",""
"DNI","DNI","",""
"Dias","Dies","",""
"Mes","Mes","",""
"Año","Any","",""
"Tipo jornada falta","Tipus jornada mancada","",""
"Hora inicio","Hora inicie","",""
"Hora fin","Hora fi","",""
"Motivo falta","Motiu mancada","",""
"Otro motivo","Un altre motiu","",""
"Explicar los datos a subsanar","Explicar les dades a esmenar","",""
"Motivo del rechazo","Motiu del rebuig","",""
"Tipo resolución","Tipus resolució","",""
"Foto o PDF del justificante","Foto o PDF del justificant","",""
"Solicitud a firmar por el usuario","Sol·licitud a signar per l'usuari","",""
"Solicitud firmada por el usuario","Sol·licitud signada per l'usuari","",""
"Justificante de recepción por el centro","Justificant de recepció pel centre","",""
"Toda la jornada","Tota la jornada","",""
"Jornada parcial","Jornada parcial","",""
"Enfermedad común","Malaltia comuna","",""
"Permiso médico, educativo o asistencial","Permís mèdic, educatiu o assistencial","",""
"Traslado de domicilio","Trasllat de domicili","",""
"Asistencia a pruebas selectivas y exámenes","Assistència a proves selectives i exàmens","",""
"Nacimiento, adopción o acogimiento","Naixement, adopció o acolliment","",""
"Fallecimiento o enfermedad grave de un familiar","Defunció o malaltia greu d'un familiar","",""
"Deber inexcusable","Deure inexcusable","",""
"Funciones representativas","Funcions representatives","",""
"Otros","Uns altres","",""
"Septiembre","Setembre","",""
"Octubre","Octubre","",""
"Noviembre","Novembre","",""
"Diciembre","Desembre","",""
"Enero","Gener","",""
"Febrero","Febrer","",""
"Marzo","Març","",""
"Abril","Abril","",""
"Mayo","Maig","",""
"Junio","Juny","",""
"Resolver positivamente","Resoldre positivament","",""
"Resolver negativamente(Rechazar)","Resoldre negativament(Rebutjar)","",""
"Solicitar subsanación de datos","Sol·licitar esmena de dades","",""
"Justificación de falta del profesorado","Justificació de falta del professorat","",""
"Datos del Profesor","Dades del Professor","",""
"Datos de la Falta","Dades de la Falta","",""
"Adjuntar justificante","Adjuntar justificant","",""
"Solicitud","Sol·licitud","",""
"Resolver expediente","Resoldre expedient","",""
"Resolución","Resolució","",""
"Disconformidad de los datos presentados","Disconformitat de les dades presentades","",""
"Motivo disconformidad","Motiu disconformitat","",""
"Borrar","Esborrar","",""
"Siguiente","Següent","",""
"Salir","Eixir","",""
"Atrás","Arrere","",""
"Firmar con AutoFirma__!! y Presentar el documento","Signar amb AutoFirma i Presentar el document","",""
"ayuda","ajuda","",""
"Resolver el expediente","Resoldre l'expedient","",""
"value:Justificación de falta del profesorado","Justificació de falta del professorat","",""
"value:Entrada de datos","Entrada de dades","",""
"value:Pendiente de presentación","Pendent de presentació","",""
"value:Pendiente de resolución","Pendent de resolució","",""
"value:Aceptado","Acceptat","",""
"value:Rechazado","Rebutjat","",""
"Firmar con AutoFirma__!! y Presentar la solicitud","Signar amb AutoFirma i Presentar la sol·licitud","",""
"Resultados Firmas","Resultats Signatures","",""
"FCT's__!!","FCT's","",""
"Firmante","Signant","",""
"Emisor del certificado","Emissor del certificat","",""
