"key","message","comment","context"
"+{0} more","+{0} més",,
"API Documentation","Documentació de l'API",,
"About","Quant a",,
"Access Error","Error d'accés",,
"Action","Acció",,
"Action Category","Categoria d'acció",,
"Action Sub-Category","Subcategoria d'acció",,
"Action...","Acció...",,
"Active Users","Usuaris actius",,
"Add","Afegir",,
"Add Field","Afegir camp",,
"Add and new","Afegir i nou",,
"Add filter","Afegir filtre",,
"Add followers","Afegir seguïdors",,
"Add recipients to post your message.","Afegir destinataris per publicar el teu missatge.",,
"Add some tags","Afegir etiquetes",,
"Add subitem","Afegir subelement",,
"Add to favorites...","Afegir a preferits...",,
"Advanced Search","Cerca avançada",,
"Align left","Alinear a l'esquerra",,
"Align right","Alinear a la dreta",,
"All","Tot",,
"All Day","Tot el dia",,
"All Rights Reserved","Tots els drets reservats",,
"Alt.Key","Alt.Tecla",,
"An error has occurred{}. Please contact your administrator.","S'ha produït un error{}. Contacta amb l'administrador.",,
"Apply","Aplicar",,
"Apply as default for all users","Aplicar com a predeterminat per a tots els usuaris",,
"Archive","Arxivar",,
"Are you sure to unfollow this document?","Segur que vols deixar de seguir aquest document?",,
"Are you sure you want to delete the {0} selected documents?","Segur que vols eliminar els {0} documents seleccionats?",,
"Are you sure you want to delete {0}?","Segur que vols eliminar {0}?",,
"Are you sure you want to reset this view customization?","Segur que vols reiniciar aquesta personalització de la vista?",,
"Attached to...","Adjunt a...",,
"Attachment","Adjunt",,
"Attachments","Adjunts",,
"Attributes","Atributs",,
"Avg","Mitjana",,
"Back","Tornar",,
"Back to editor","Tornar a l'editor",,
"Background color","Color de fons",,
"Blockquote","Citació",,
"Bold (Ctrl+B)","Negreta (Ctrl+B)",,
"Call","Trucar",,
"Cancel","Cancel·lar",,
"Cancelled","Cancel·lat",,
"Center","Centrat",,
"Change password","Canviar contrasenya",,
"Change your password","Canvia la contrasenya",,
"Clear","Netejar",,
"Close","Tancar",,
"Close All","Tancar tot",,
"Close Others","Tancar altres",,
"Code","Codi",,
"Collapse All","Plegar tot",,
"Columns","Columnes",,
"Comments","Comentaris",,
"Confirm new password","Confirma la nova contrasenya",,
"Copied","Copiat",,
"Copy to clipboard","Copiar al porta-retalls",,
"Count","Recompte",,
"Create","Crear",,
"Create document","Crear document",,
"Create folder","Crear carpeta",,
"Create spreadsheet","Crear full de càlcul",,
"Create...","Crear...",,
"Created","Creat",,
"Created By","Creat per",,
"Created On","Creat el",,
"Ctrl.Key","Ctrl.Tecla",,
"Current changes will be lost. Do you really want to proceed?","Es perdran els canvis. Vols continuar?",,
"Current changes will be saved. Do you want to proceed?","Es guardaran els canvis. Vols continuar?",,
"Current password","Contrasenya actual",,
